MTurk_ID,b_day0,b_day1,b_day2,b_day3,b_day4,b_day5,b_delta_10,b_delta_21,b_delta_32,b_delta_43,b_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2688,Participant
A98E8M4QLI9RS,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2750,Participant
A3GWRDHAURRNK6,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2358,Observer
ARLGZWN6W91WD,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2636,Participant
A3U2VUZ2L7HIWG,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2718,Participant
A25ZOL1H79DW0P,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2328,Observer
A1FG2G9TZSDN,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2667,Participant
A28ANDQ58MEMGW,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2577,Participant
A18XVBWB2A270I,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2338,Observer
A3OHYXTHW11HS7,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2575,Participant
A3L5XFNSOY6QET,4,3,3,3,3,3,-1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,b,2360,Observer
AADRZTXSE7211,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2618,Participant
AZTYIBLLB60V8,3,3,3,4,3,4,0.0,0.0,1.0,-1.0,1.0,3,1,2,1,1,b,2703,Participant
A15F2JTVAJXITI,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2297,Observer
A10IUXCZBNYUXC,2,2,2,2,1,1,0.0,0.0,0.0,-1.0,0.0,1,2,2,2,1,b,2658,Participant
A3RVHUY67SVXQV,3,3,3,2,2,3,0.0,0.0,-1.0,0.0,1.0,2,3,2,1,0,b,2679,Participant
A1Y2G0UNCX95NH,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,b,2604,Participant
A173A97OFDAX9F,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2601,Participant
A27OFCQG73Z4UF,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2321,Observer
A3FJ3XMXO8UAJ0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2339,Observer
A3PRFA3M7OSCT5,2,3,3,2,2,3,1.0,0.0,-1.0,0.0,1.0,3,4,1,0,1,b,2622,Participant
AK1PBMID4RD59,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2687,Participant
AWDVZCZQZFE7K,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2313,Observer
AFO9MCOXXSYY7,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2352,Observer
A1B9H14AV44C0G,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2701,Participant
A2MPOAEQ25ZJAD,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2570,Participant
A33Z6BHAJUGCHY,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2324,Observer
A27KZJJR9201NN,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2603,Participant
A1AIMKA54UBYIQ,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,b,2638,Participant
A1O57XVTTB1PNZ,2,2,2,2,3,2,0.0,0.0,0.0,1.0,-1.0,2,1,1,1,0,b,2655,Participant
A2OX8TSRCU6NKD,1,1,1,2,3,2,0.0,0.0,1.0,1.0,-1.0,3,2,3,2,1,b,2649,Participant
A2AYD8G2NV0RNQ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2608,Participant
A3C8JI69WPTKWH,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2702,Participant
A35AMS7DP33RQZ,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2308,Observer
A2VGFS03KCCR1Q,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2280,Observer
A25XQ0GFZ57PPU,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2293,Observer
A53S7J4JGWG38,3,3,3,4,4,4,0.0,0.0,1.0,0.0,0.0,1,2,3,2,1,b,2610,Participant
ASXFMHGSF0GU6,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2714,Participant
AEOVYZ83Q3GX4,3,3,3,3,4,4,0.0,0.0,0.0,1.0,0.0,1,2,2,2,1,b,2301,Observer
A2IYR9HF66R029,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2296,Observer
AJZEXCH1TSUE1,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2654,Participant
APX27OTNP4SYJ,2,2,2,2,4,3,0.0,0.0,0.0,2.0,-1.0,2,2,2,2,1,b,2704,Participant
A8ZUM922CBH6S,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2665,Participant
A3R92SZR28XVHP,2,2,2,2,2,1,0.0,0.0,0.0,0.0,-1.0,1,1,1,1,1,b,2663,Participant
A2HJYX70UQW9XR,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2330,Observer
AKSJ3C5O3V9RB,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2709,Participant
A3RB9WPEC9YL2P,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2304,Observer
A1H7XQCN2TQJM7,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2342,Observer
A2WUXZOY4CRF5R,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2275,Observer
AJMWTFJTL8RLM,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2288,Observer
AYTH0E5PUXWX8,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2350,Observer
A3201SGKC2IXYI,2,2,2,1,2,2,0.0,0.0,-1.0,1.0,0.0,2,2,1,0,0,b,2596,Participant
A2UAHW3Q7S45JP,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,b,2333,Observer
